Supplementary table 7. The lists for statistical values in the study.,,,,,,
  Fig. 1c,ANOVA summary,,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=3.918, df=9.392",,,,
  Fig. 7f,Relative Igf1 mRNA level in Iba1+ cells in mPFC after L or LnL treatment,,,,,
,Unpaired t test with Welch's correction,,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=8.780, df=12.55",,,,
,,,,,,
,Relative Igf1 mRNA levelin Iba1- cells in mPFC after L or LnL treatment,,,,,
,Unpaired t test with Welch's correction,,,,,
,P value,0.3206,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=1.032, df=13.35",,,,
  Fig. 7g,Relative Igf1 mRNA level in Iba1+ cells in mPFC after saline and CNO treatment,,,,,
,Unpaired t test with Welch's correction,,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=4.902, df=19.61",,,,
, ,,,,,
,Relative Igf1 mRNA levelin Iba1- cells in mPFC after saline and CNO treatment,,,,,
,Unpaired t test with Welch's correction,,,,,
,P value,0.256,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=1.166, df=22.00",,,,
  Fig. 7j,ANOVA summary,,,,,
,F,25.69,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.8281,,,,
  Fig. 7k,ANOVA summary,,,,,
,F,28.12,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.8406,,,,
  Fig. 7l,ANOVA summary,,,,,
,F,10.72,,,,
,P value,0.0002,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6165,,,,
  Fig. 7m,ANOVA summary,,,,,
,F,13.48,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6691,,,,
  Fig. 7n,Mitochondrial membrane potential (fold change),,,,,
,ANOVA summary,,,,,
,F,11.45,,,,
,P value,0.0001,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.632,,,,
, ,,,,,
,"Mitochondrial ATP (nmol/μg protein, %)",,,,,
,ANOVA summary,,,,,
,F,8.503,,,,
,P value,0.0008,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.5605,,,,
  Fig. 7o,Social interaction ratio,,,,,
,ANOVA summary,,,,,
,F,14.44,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.5461,,,,
, ,,,,,
,Time in interaction zone (s) with no target,,,,,
,ANOVA summary,,,,,
,F,0.2602,,,,
,P value,0.8535,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.02123,,,,
, ,,,,,
,Time in interaction zone (s) with target,,,,,
,ANOVA summary,,,,,
,F,9.221,,,,
,P value,0.0001,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4345,,,,
  Fig. 7p,Sucrose preference (%) in pre-stress,,,,,
,ANOVA summary,,,,,
,F,1.247,,,,
,P value,0.307,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.09416,,,,
, ,,,,,
,Sucrose preference (%) in test,,,,,
,ANOVA summary,,,,,
,F,5.984,,,,
,P value,0.002,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.3327,,,,
, ,,,,,
  Fig. 8d ,IGF-1/Tubulin (%) in mPFC,,,,,
,ANOVA summary,,,,,
,F,14.46,,,,
,P value,0.0015,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.7626,,,,
,,,,,,
,LAP/LIP ratio in mPFC,,,,,
,ANOVA summary,,,,,
,F,36.48,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.8902,,,,
, ,,,,,
,DRP1/Tubulin (%) in mPFC,,,,,
,ANOVA summary,,,,,
,F,10.14,,,,
,P value,0.005,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6926,,,,
, ,,,,,
  Fig. 8e,ANOVA summary,,,,,
,F,0.4135,,,,
,P value,0.6704,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.06448,,,,
  Fig. 8f,ANOVA summary,,,,,
,F,45.28,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.8579,,,,
  Fig. 8g,Mitochondrial membrane potential (fold change),,,,,
,ANOVA summary,,,,,
,F,10.68,,,,
,P value,0.0006,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.5043,,,,
, ,,,,,
,"Mitochondrial ATP (nmol/μg protein, %)",,,,,
,ANOVA summary,,,,,
,F,11.85,,,,
,P value,0.0004,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.5303,,,,
  Fig. 8h,ANOVA summary,,,,,
,F,33.33,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6689,,,,
  Fig. 8i ,Sucrose preference (%) in pre-treatment,,,,,
,ANOVA summary,,,,,
,F,1.926,,,,
,P value,0.1617,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.1045,,,,
, ,,,,,
,Sucrose preference (%) in test,,,,,
,ANOVA summary,,,,,
,F,6.855,,,,
,P value,0.0032,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.2935,,,,
  Fig. 8m,IGF-1/Tubulin (%) in mPFC,,,,,
,ANOVA summary,,,,,
,F,19.63,,,,
,P value,0.0005,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.8135,,,,
, ,,,,,
,LAP/LIP ratio in mPFC,,,,,
,ANOVA summary,,,,,
,F,60.17,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.9304,,,,
, ,,,,,
,DRP1/Tubulin (%) in mPFC,,,,,
,ANOVA summary,,,,,
,F,17.92,,,,
,P value,0.0007,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.7993,,,,
  Fig. 8n,ANOVA summary,,,,,
,F,0.3609,,,,
,P value,0.7067,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.07425,,,,
  Fig. 8o,ANOVA summary,,,,,
,F,41.49,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.8737,,,,
  Fig. 8p,Mitochondrial membrane potential (fold change),,,,,
,ANOVA summary,,,,,
,F,12.47,,,,
,P value,0.0006,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6244,,,,
,,,,,,
,"Mitochondrial ATP (nmol/μg protein, %)",,,,,
,ANOVA summary,,,,,
,F,23.98,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.7617,,,,
  Fig. 8q,ANOVA summary,,,,,
,F,22.06,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6383,,,,
  Fig. 8r ,Sucrose preference (%) in pre-treatment,,,,,
,ANOVA summary,,,,,
,F,0.7831,,,,
,P value,0.4679,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.05895,,,,
,,,,,,
,Sucrose preference (%) in test,,,,,
,ANOVA summary,,,,,
,F,13.65,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.522,,,,
, ,,,,,
  Supplementary Fig.1b,ANOVA summary,,,,,
,F,8.16,,,,
,P value,0.0008,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.2424,,,,
  Supplementary Fig.1c,Time in interaction zone (s) without target,,,,,
,ANOVA summary,,,,,
,F,0.0794,,,,
,P value,0.9238,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.003104,,,,
,,,,,,
,Time in interaction zone (s) with target,,,,,
,ANOVA summary,,,,,
,F,6.598,,,,
,P value,0.0028,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.2056,,,,
  Supplementary Fig.1e,Mitochondrial membrane potential in the mPFC,,,,,
,ANOVA summary,,,,,
,F,10.86,,,,
,P value,0.0012,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.5915,,,,
, ,,,,,
,Mitochondrial membrane potential in the hippocampus,,,,,
,ANOVA summary,,,,,
,F,0.8156,,,,
,P value,0.4611,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.09808,,,,
  Supplementary Fig.1f,Mitochondrial ATP levels in the mPFC,,,,,
,ANOVA summary,,,,,
,F,7.334,,,,
,P value,0.006,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4944,,,,
, ,,,,,
,Mitochondrial ATP levels in the hippocampus,,,,,
,ANOVA summary,,,,,
,F,2.834,,,,
,P value,0.0904,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.2742,,,,
  Supplementary Fig.2b,ANOVA summary,,,,,
,F,0.4409,,,,
,P value,0.8173,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.04987,,,,
  Supplementary Fig.2c,ANOVA summary,,,,,
,F,0.2417,,,,
,P value,0.9417,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.02796,,,,
  Supplementary Fig.2d,ANOVA summary,,,,,
,F,3.832,,,,
,P value,0.0263,,,,
,P value summary,*,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6149,,,,
  Supplementary Fig.2e,ANOVA summary,,,,,
,F,6.742,,,,
,P value,0.0033,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.7375,,,,
  Supplementary Fig.2h,ANOVA summary,,,,,
,F,6.116,,,,
,P value,0.0049,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.7182,,,,
  Supplementary Fig.2i,ANOVA summary,,,,,
,F,7.793,,,,
,P value,0.0018,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.7645,,,,
  Supplementary Fig.2k,p-DRP1/Tubulin (%),,,,,
,ANOVA summary,,,,,
,F,55.39,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.9585,,,,
,,,,,,
,DRP1/Tubulin (%),,,,,
,ANOVA summary,,,,,
,F,23.96,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.9089,,,,
, ,,,,,
  Supplementary Fig.3b,p-DRP1/DRP1 (%),,,,,
,ANOVA summary,,,,,
,F,0.7661,,,,
,P value,0.4822,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.09268,,,,
, ,,,,,
,DRP1/Tubulin (%),,,,,
,ANOVA summary,,,,,
,F,0.6674,,,,
,P value,0.5276,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.08172,,,,
  Supplementary Fig.3c,ANOVA summary,,,,,
,F,1.091,,,,
,P value,0.361,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.127,,,,
  Supplementary Fig.3e,p-DRP1/DRP1 (%),,,,,
,ANOVA summary,,,,,
,F,8.963,,,,
,P value,0.0027,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.5444,,,,
, ,,,,,
,DRP1/Tubulin (%),,,,,
,ANOVA summary,,,,,
,F,12.43,,,,
,P value,0.0007,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6238,,,,
  Supplementary Fig.3f,ANOVA summary,,,,,
,F,27.22,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.784,,,,
  Supplementary Fig.3i,ANOVA summary,,,,,
,F,3.725,,,,
,P value,0.0201,,,,
,P value summary,*,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4269,,,,
  Supplementary Fig.3j,ANOVA summary,,,,,
,F,7.091,,,,
,P value,0.001,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.5865,,,,
  Supplementary Fig.3k,ANOVA summary,,,,,
,F,2.875,,,,
,P value,0.0369,,,,
,P value summary,*,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.2473,,,,
  Supplementary Fig.3n,ANOVA summary,,,,,
,F,11.28,,,,
,P value,0.0003,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.679,,,,
  Supplementary Fig.3o,ANOVA summary,,,,,
,F,15.88,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.7485,,,,
  Supplementary Fig.3p,ANOVA summary,,,,,
,F,6.431,,,,
,P value,0.0013,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.3489,,,,
  Supplementary Fig.3r,Unpaired t test with Welch's correction,,,,,
,P value,0.0103,,,,
,P value summary,*,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=3.208, df=9.298",,,,
  Supplementary Fig.3s,Unpaired t test with Welch's correction,,,,,
,P value,0.0247,,,,
,P value summary,*,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=3.024, df=5.717",,,,
  Supplementary Fig.4a,Unpaired t test,,,,,
,P value,0.0633,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"t, df","t=1.934, df=28",,,,
  Supplementary Fig.5b,ANOVA summary,,,,,
,F,19.99,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.7894,,,,
  Supplementary Fig.5c,ANOVA summary,,,,,
,F,16.08,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.7509,,,,
  Supplementary Fig.5d,Time in interaction zone (s) without target,,,,,
,ANOVA summary,,,,,
,F,0.04081,,,,
,P value,0.9888,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.003389,,,,
, ,,,,,
,Time in interaction zone (s) with target,,,,,
,ANOVA summary,,,,,
,F,6.055,,,,
,P value,0.0019,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.3354,,,,
  Supplementary Fig.5e,ANOVA summary,,,,,
,F,0.07449,,,,
,P value,0.9733,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.006169,,,,
  Supplementary Fig.5g,ANOVA summary,,,,,
,F,17.61,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.7676,,,,
  Supplementary Fig.5h,ANOVA summary,,,,,
,F,11.72,,,,
,P value,0.0003,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6873,,,,
  Supplementary Fig.5i,Time in interaction zone (s) without target,,,,,
,ANOVA summary,,,,,
,F,0.1185,,,,
,P value,0.9486,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.01099,,,,
,,,,,,
,Time in interaction zone (s) with target,,,,,
,ANOVA summary,,,,,
,F,11.85,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.5263,,,,
, ,,,,,
  Supplementary Fig.5j,ANOVA summary,,,,,
,F,0.2414,,,,
,P value,0.8668,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.02213,,,,
  Supplementary Fig.6a,ANOVA summary,,,,,
,F,13.17,,,,
,P value,0.0005,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6371,,,,
  Supplementary Fig.6b,p-C/EBPβ/C/EBPβ (%),,,,,
,ANOVA summary,,,,,
,F,7.845,,,,
,P value,0.0066,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.5666,,,,
, ,,,,,
,C/EBPβ/Tubulin (%),,,,,
,ANOVA summary,,,,,
,F,8.251,,,,
,P value,0.0056,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.579,,,,
  Supplementary Fig.6c,ANOVA summary,,,,,
,F,5.933,,,,
,P value,0.0091,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.361,,,,
  Supplementary Fig.6d,ANOVA summary,,,,,
,F,9.885,,,,
,P value,0.0009,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4849,,,,
  Supplementary Fig.6e,Unpaired t test,,,,,
,P value,0.2727,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"t, df","t=1.119, df=28",,,,
  Supplementary Fig.6f,ANOVA summary,,,,,
,F,0.2667,,,,
,P value,0.9277,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.04256,,,,
  Supplementary Fig.6h,Relative Dnm1l mRNA level,,,,,
,ANOVA summary,,,,,
,F,11.7,,,,
,P value,0.0003,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6869,,,,
, ,,,,,
,Relative Cebpb mRNA level,,,,,
,ANOVA summary,,,,,
,F,11.72,,,,
,P value,0.0003,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6873,,,,
, ,,,,,
  Supplementary Fig.7f,IL-6 level (%),,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.0156,,,,
,P value summary,*,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=3.243, df=6.543",,,,
,,,,,,
,TNF-α level (%),,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.3963,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=0.9031, df=7.049",,,,
, ,,,,,
  Supplementary Fig.7h,ANOVA summary,,,,,
,F,12.06,,,,
,P value,0.0002,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6934,,,,
  Supplementary Fig.8a,Pre,,,,,
,ANOVA summary,,,,,
,F,5.332,,,,
,P value,0.0071,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.5871,,,,
,,,,,,
,Post,,,,,
,ANOVA summary,,,,,
,F,13.56,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.7834,,,,
, ,,,,,
  Supplementary Fig.8c,Social interaction ratio,,,,,
,ANOVA summary,,,,,
,F,7.151,,,,
,P value,0.0012,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4521,,,,
, ,,,,,
,Time in interaction zone (s) without target,,,,,
,ANOVA summary,,,,,
,F,0.5457,,,,
,P value,0.6554,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.05924,,,,
,,,,,,
,Time in interaction zone (s) with target,,,,,
,ANOVA summary,,,,,
,F,11.03,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.56,,,,
, ,,,,,
  Supplementary Fig.8d,Sucrose preference (%) in pre-stress,,,,,
,ANOVA summary,,,,,
,F,0.2108,,,,
,P value,0.888,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.02374,,,,
, ,,,,,
,Sucrose preference (%) in test,,,,,
,ANOVA summary,,,,,
,F,6.229,,,,
,P value,0.0025,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4182,,,,
  Supplementary Fig.8f,Social interaction ratio,,,,,
,ANOVA summary,,,,,
,F,7.341,,,,
,P value,0.003,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.3609,,,,
, ,,,,,
,Time in interaction zone (s) without target,,,,,
,ANOVA summary,,,,,
,F,0.1229,,,,
,P value,0.8848,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.009367,,,,
, ,,,,,
,Time in interaction zone (s) with target,,,,,
,ANOVA summary,,,,,
,F,5.069,,,,
,P value,0.0138,,,,
,P value summary,*,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.2805,,,,
  Supplementary Fig.8g,Sucrose preference (%) in pre-stress,,,,,
,ANOVA summary,,,,,
,F,0.7879,,,,
,P value,0.4653,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.05715,,,,
, ,,,,,
,Sucrose preference (%) in test,,,,,
,ANOVA summary,,,,,
,F,9.777,,,,
,P value,0.0007,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4292,,,,
, ,,,,,
  Supplementary Fig.8h,C/EBPβ (LAP+LIP)/Tubulin (%),,,,,
,ANOVA summary,,,,,
,F,0.374,,,,
,P value,0.8236,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.09069,,,,
, ,,,,,
,,,,,,
,DRP1/Tubulin (%),,,,,
,ANOVA summary,,,,,
,F,18.19,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.8291,,,,
, ,,,,,
  Supplementary Fig.8i,Unpaired t test with Welch’s correction,,,,,
,P value,0.0426,,,,
,P value summary,*,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=4.420, df=2.124",,,,
  Supplementary Fig.8j,Unpaired t test with Welch’s correction,,,,,
,P value,0.029,,,,
,P value summary,*,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=2.719, df=7.199",,,,
  Supplementary Fig.8k,LAP/LIP ratio,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.0355,,,,
,P value summary,*,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=2.431, df=9.955",,,,
, ,,,,,
,C/EBPβ (LAP+LIP)/Tubulin (%),,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.5702,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=0.5941, df=7.373",,,,
, ,,,,,
,p-IGF-1R/IGF-1R (%),,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.009,,,,
,P value summary,**,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=3.577, df=7.001",,,,
,,,,,,
,p-Akt/Akt (%),,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.0008,,,,
,P value summary,***,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=4.856, df=9.324",,,,
, ,,,,,
,p-S6K1/S6K1 (%),,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.0058,,,,
,P value summary,**,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=3.529, df=9.581",,,,
, ,,,,,
  Supplementary Fig.8l,Unpaired t test with Welch’s correction,,,,,
,P value,0.0452,,,,
,P value summary,*,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=2.290, df=9.929",,,,
  Supplementary Fig.8m,Relative Cebpb mRNA level,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.3166,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=1.054, df=9.998",,,,
, ,,,,,
,Relative Dnm1l mRNA level,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.0071,,,,
,P value summary,**,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=3.387, df=9.785",,,,
, ,,,,,
  Supplementary Fig.8o,LAP/LIP ratio,,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.0049,,,,
,P value summary,**,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=4.416, df=5.808",,,,
,,,,,,
,C/EBPβ (LAP+LIP)/Tubulin (%),,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.4262,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=0.8383, df=7.998",,,,
, ,,,,,
,DRP1/Tubulin (%),,,,,
,Unpaired t test with Welch’s correction,,,,,
,P value,0.0226,,,,
,P value summary,*,,,,
,Significantly different (P < 0.05)?,Yes,,,,
